Daynum,Last,Lblk,Ldr,Lfga,Lfga3,Lfgm,Lfgm3,Lfta,Lftm,Lor,Lpf,Lscore,Lstl,Lto,Numot,Season,Wast,Wblk,Wdr,Wfga,Wfga3,Wfgm,Wfgm3,Wfta,Wftm,Win,Wor,Wpf,Wscore,Wstl,Wto,adv
136,15,2,19,39,25,17,8,13,10,2,15,52,7,16,0,2004,12,1,21,53,13,22,4,18,15,0,14,15,63,10,13,1314
136,15,1,14,41,27,21,13,18,14,1,13,69,7,11,0,2006,17,1,21,50,22,29,8,14,12,0,7,17,78,6,11,1228
136,15,1,15,57,23,21,10,18,12,11,23,64,0,8,0,2009,15,5,27,44,15,23,5,31,26,0,7,18,77,5,8,1211
137,10,4,24,64,21,23,7,6,3,8,21,56,6,8,0,2011,16,5,35,47,17,21,7,26,20,0,6,11,69,5,14,1323
136,5,6,20,43,13,15,1,19,11,9,12,42,2,22,0,2013,15,0,23,65,16,35,8,14,10,0,13,17,88,11,7,1433
136,15,1,20,59,22,24,12,5,4,10,14,64,4,10,0,2004,7,2,24,53,16,24,7,16,10,1,11,7,65,7,12,1356
138,12,0,27,73,24,26,7,11,8,22,31,67,2,12,0,2004,8,8,24,43,19,16,4,44,34,1,5,16,70,6,8,1390
143,12,4,19,55,14,26,5,20,14,16,20,71,5,18,0,2004,22,6,17,52,22,26,9,23,19,1,10,17,80,11,9,1393
136,13,4,15,61,22,32,7,19,14,13,22,85,9,12,0,2006,15,3,16,55,23,28,12,31,22,1,16,17,90,4,14,1266
137,13,6,20,52,12,22,5,16,13,9,21,62,2,8,0,2003,15,2,22,49,18,19,7,26,22,0,13,17,67,1,8,1231
145,14,5,21,60,19,25,6,18,15,12,23,71,2,9,0,2004,17,7,25,60,17,29,10,29,19,0,15,18,87,3,7,1163
136,17,3,22,50,23,26,9,16,12,12,20,73,3,19,0,2005,20,1,14,50,21,26,12,28,19,0,8,18,83,6,7,1454
138,10,3,20,39,11,19,2,25,19,10,15,59,7,15,0,2006,17,4,14,47,25,24,9,13,5,0,7,20,62,5,11,1417
137,9,4,26,48,17,22,7,12,6,6,18,57,5,9,0,2012,14,3,24,50,21,22,9,13,5,0,7,11,58,4,7,1166
